recv_socket,26
create_open_file,16
sleep,18
open_scmanager,13
load_driver,1
get_host_by_addr,1
create_interface,1
create_mutex,9
set_value,10
enum_items,4
get_computer_name,15
read_value,7
open_service,14
change_service_config,2
copy_file,20
exit_windows,1
enum_modules,1
bind_socket,24
enum_keys,23
delete_value,4
enum_types,2
write_value,1
send_socket,31
dump_line,27
unload_driver,1
enum_values,24
thread,28
load_dll,2
create_window,11
com_create_instance,21
message,4
get_userinfo,1
get_file_attributes,15
find_file,20
open_file,3
get_username,21
create_service,1
query_value,8
create_file,2
move_file,2
open_key,7
create_socket,23
vm_write,2
delete_file,1
create_process_as_user,1
get_system_time,19
create_mailslot,1
com_createole_object,1
listen_socket,1
enum_share,3
open_mutex,12
vm_protect,22
vm_mapviewofsection,1
get_windows_directory,4
enum_processes,18
open_url,29
download_file,1
com_get_class_object,25
kill_process,27
load_image,1
delete_share,1
create_process,26
logon_as_user,1
get_system_directory,6
set_thread_context,1
create_process_nt,1
find_window,12
vm_allocate,1
enum_handles,1
connect_socket,25
set_file_time,5
start_service,3
create_thread_remote,3
show_window,14
open_process,9
impersonate_user,30
connect,28
enum_services,1
process,29
vm_read,1
check_for_debugger,5
delete_service,1
read_section,8
enum_window,13
set_system_time,1
add_netjob,1
set_windows_hook,10
control_service,1
accept_socket,1
trimmed_bytes,32
download_file_to_cache,1
destroy_window,19
get_host_by_name,17
set_file_attributes,6
revert_to_self,1
create_key,3
create_thread,17
enum_subtypes,3
delete_key,22
create_directory,16
remove_directory,11
create_namedpipe,1
